Focal,troop,birth year,DOB,group size at birth2bSubs,age at opuntia benefit2,biomass.year,biomassRev,Loss of mom before 4 years,ageatmomdeathRevadj,Primiparous,ibidays
by,enk,1999,36165,21,1,58.3,14.7,0,0,0,574
ut,enk,1999,36218,21,1,58.3,14.7,0,0,1,632
fd,phg,1999,36491,24,1,58.3,14.7,0,0,0,701
bf,phg,2000,36740,26,0,26.77,46.23,0,0,0,454
un,phg,2000,36850,25,0,26.77,46.23,0,0,0,621
oa,ynt,2001,37148,26,0,35.93,37.07,0,0,0,633
ur,phg,2002,37471,27,0,63.88,9.12,0,0,0,472
ua,enk,2005,38430,36,0,35.89,37.11,0,0,0,396
fx,phg,2005,38680,27,0,35.89,37.11,0,0,1,518
qp,enk,2006,38740,27,0,25.52,47.48,0,0,0,486
ux,phg,2007,39097,26,0,72,1,0,0,0,357
oy,phg,2007,39178,27,0,72,1,0,0,1,462
oo,ynt,2007,39180,27,0,72,1,0,0,0,575
qn,enk,2007,39226,27,0,72,1,0,0,0,445
uv,enk,2007,39287,28,0,72,1,1,1,0,410
uz,phg,2008,39595,30,0,32.77,40.23,0,0,1,692
ob,ynt,2008,39640,31,0,32.77,40.23,0,0,0,498
ug,phg,2008,39748,32,0,32.77,40.23,0,0,0,620
uk,enk,2009,39870,31,0,23.74,49.26,0,0,0,447
ty,phg,2009,40031,30,0,23.74,49.26,0,0,0,620
o6,phg,2009,40138,33,0,23.74,49.26,0,0,0,565
qc,enk,2010,40274,31,0,49.97,23.03,0,0,0,442
uj,phg,2010,40287,31,0,49.97,23.03,0,0,0,615
gm,phg,2011,40586,26,0,29.54,43.46,0,0,0,439
yp,phg,2011,40597,26,0,29.54,43.46,0,0,0,433
tm,phg,2011,40651,26,0,29.54,43.46,0,0,0,817
ky,ynt,2011,40703,29,0,29.54,43.46,0,0,0,537
qz,enk,2011,40716,29,0,29.54,43.46,0,0,0,407
cr,phg,2011,40885,25,0,29.54,43.46,0,0,0,470
co,phg,2011,40890,25,0,29.54,43.46,0,0,0,639
gr,phg,2012,40928,27,0,53.83,19.17,0,0,1,592
gy,phg,2012,41025,30,0,53.83,19.17,0,0,0,459